OBJECTID;ID_LOCAL;X;Y;Xbis;Ybis;C20_NIV8;F7;ARRO;QUA;IRIS;NUM;LET;TYP_VOIE;LIB_VOIE;C20_SIT;C20_CODACT;C20_LIBACT;C20_SURF;C20_CC_ID;C20_NOM_CC;CODE_PROTECTION;TYPE_PROTECTION;CODE_ZTI;NOM_ZTI
1539;25111;650479.9163;6864962.1309;650479.9163;6864962.1309;2;null;8;32;751083207;23;null;BD;BATIGNOLLES;R;CA302;Supérette  classique;1;0;null;1;PCA;0;null
1538;25110;650496.2474;6864966.9998;650496.2474;6864966.9998;2;null;8;32;751083207;21;null;BD;BATIGNOLLES;R;CA302;Supérette  classique;1;0;null;1;PCA;0;null
1525;24970;650247.5944;6864892.7268;650247.5944;6864892.7268;2;null;8;32;751083206;41;B;BD;BATIGNOLLES;R;CA302;Supérette  classique;1;0;null;1;PCA;0;null
1530;25036;650284.9387;6864903.9224;650284.9387;6864903.9224;2;null;8;32;751083206;41;null;BD;BATIGNOLLES;R;CA301;Alimentation générale  <120m²;1;0;null;1;PCA;0;null
1533;25095;650440.7635;6864928.4784;650440.148107426;6864932.43077802;2;null;8;32;751083206;31;null;RUE;TURIN;R;CA301;Alimentation générale  <120m²;1;0;null;0;null;0;null
1532;25076;650403.1035;6864939.2547;650399.280738631;6864938.07720456;2;null;8;32;751083206;29;null;BD;BATIGNOLLES;A;CA107;Vente de produits surgelés;1;0;null;1;PCA;0;null
1531;25075;650403.1035;6864939.2547;650403.1035;6864939.2547;2;null;8;32;751083206;29;null;BD;BATIGNOLLES;R;CA108;Vente de fruits et légumes;1;0;null;1;PCA;0;null
1529;25033;650315.2759;6864912.9638;650311.452522645;6864911.78830623;2;null;8;32;751083206;37;null;BD;BATIGNOLLES;R;CA102;Traiteur asiatique;1;0;null;1;PCA;0;null
1534;25097;650438.9082;6864941.0751;650438.294876886;6864945.02779968;2;null;8;32;751083206;33;null;RUE;TURIN;A;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;0;null;0;null
1528;25025;650360.0734;6864926.3158;650360.0734;6864926.3158;2;null;8;32;751083206;31;null;BD;BATIGNOLLES;A;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;1;PCA;0;null
1527;25012;650458.3294;6864726.7435;650458.3294;6864726.7435;2;null;8;32;751083206;5;null;PL;DUBLIN;A;CA302;Supérette  classique;1;0;null;0;null;0;null
1542;25180;650495.6649;6864732.0061;650495.6649;6864732.0061;2;null;8;32;751083207;22;null;RUE;MOSCOU;R;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;0;null;0;null
1515;24777;650129.7558;6864681.4066;650129.7558;6864681.4066;2;null;8;32;751083205;12;null;RUE;COPENHAGUE;A;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;1;PCA;0;null
1508;24701;650144.5864;6864651.8859;650130.251288229;6864658.99255677;2;null;8;32;751083205;17;null;RUE;CONSTANTINOPLE;R;CA102;Traiteur asiatique;1;0;null;1;PCA;0;null
1507;24700;650144.5864;6864651.8859;650133.835066171;6864657.21589258;2;null;8;32;751083205;17;null;RUE;CONSTANTINOPLE;R;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;1;PCA;0;null
1516;24782;650175.1184;6864655.5577;650175.1184;6864655.5577;2;null;8;32;751083205;8;null;RUE;CONSTANTINOPLE;A;CA111;Commerce détail de boissons;1;0;null;1;PCA;0;null
1526;25005;650210.1707;6864791.4733;650210.1707;6864791.4733;2;null;8;32;751083206;82;null;RUE;ROME;R;CA114;Produits alimentaires spécialisés régionaux et étrangers;1;0;null;1;PCA;0;null
1541;25179;650495.6649;6864732.0061;650502.015125866;6864727.14044162;2;null;8;32;751083207;22;null;RUE;MOSCOU;A;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;0;null;0;null
1514;24771;650116.7722;6864685.0466;650116.7722;6864685.0466;2;null;8;32;751083205;14;null;RUE;CONSTANTINOPLE;R;CA102;Traiteur asiatique;1;0;null;1;PCA;0;null
1502;24665;649877.2637;6864774.1312;649873.456036941;6864775.35663952;2;null;8;32;751083204;1;null;PL;PROSPER GOUBAUX;R;CA103;Boulangerie - Boulangerie Pâtisserie;1;0;null;1;PCA;0;null
1513;24748;650021.9783;6864825.5351;650021.9783;6864825.5351;2;null;8;32;751083205;53;null;BD;BATIGNOLLES;R;CA101;Charcuterie - Traiteur - Epicerie fine;1;0;null;1;PCA;0;null
